exit_mode,hold_bars,stop_points,risk_reward,trades,net_total_points,net_total_dollars,net_avg_points,net_avg_dollars,win_rate,avg_win_points,avg_loss_points,median_net_points,profit_factor,max_drawdown_points,max_drawdown_dollars,max_recovery_trades
bracket_with_time_stop,15,10.0,1.5,963,2138.25,42765.0,2.2204,44.41,0.4953,14.5524,-9.9036,-1.75,1.4452,-155.0,-3100.0,86
bracket_with_time_stop,60,10.0,1.5,963,2133.25,42665.0,2.2152,44.3,0.4891,14.9416,-9.968,-10.0,1.435,-160.0,-3200.0,89
bracket_only,60,10.0,1.5,963,2129.5,42590.0,2.2113,44.23,0.4891,14.9719,-10.0046,-10.0,1.4326,-160.0,-3200.0,89
bracket_only,15,10.0,1.5,963,1836.5,36730.0,1.9071,38.14,0.4891,15.4384,-11.0467,-10.0,1.3379,-428.0,-8560.0,271
bracket_with_time_stop,15,10.0,2.0,963,1833.5,36670.0,1.9039,38.08,0.4112,18.8049,-9.9174,-10.0,1.3266,-259.5,-5190.0,200
bracket_with_time_stop,60,10.0,2.0,963,1842.75,36855.0,1.9136,38.27,0.4008,19.6813,-9.9727,-10.0,1.3202,-290.0,-5800.0,200
bracket_only,60,10.0,2.0,963,1736.5,34730.0,1.8032,36.06,0.3956,19.8812,-10.0314,-10.0,1.2974,-290.0,-5800.0,264
bracket_with_time_stop,15,10.0,2.5,963,1710.5,34210.0,1.7762,35.52,0.3614,22.4023,-9.9112,-10.0,1.2811,-305.5,-6110.0,162
bracket_with_time_stop,60,10.0,2.5,963,1542.25,30845.0,1.6015,32.03,0.3385,24.2032,-9.9655,-10.0,1.243,-320.0,-6400.0,358
bracket_only,15,10.0,2.0,963,1571.25,31425.0,1.6316,32.63,0.4019,20.8643,-11.2904,-10.0,1.2416,-466.75,-9335.0,381
bracket_only,60,10.0,2.5,963,1547.0,30940.0,1.6064,32.13,0.3333,24.8645,-10.0226,-10.0,1.2404,-328.0,-6560.0,375
bracket_with_time_stop,15,15.0,1.5,963,1309.5,26190.0,1.3598,27.2,0.4507,20.7293,-14.5587,-15.0,1.1704,-382.25,-7645.0,227
bracket_with_time_stop,15,15.0,2.0,963,1357.25,27145.0,1.4094,28.19,0.3956,25.8038,-14.5852,-15.0,1.1602,-459.5,-9190.0,228
bracket_with_time_stop,60,15.0,1.5,963,1267.25,25345.0,1.3159,26.32,0.4413,21.8512,-14.9061,-15.0,1.158,-400.5,-8010.0,227
bracket_only,60,15.0,1.5,963,1260.5,25210.0,1.3089,26.18,0.4351,22.6277,-15.1112,-15.0,1.1533,-400.75,-8015.0,227
bracket_only,15,10.0,2.5,963,1097.0,21940.0,1.1391,22.78,0.3448,25.9307,-11.9049,-10.0,1.146,-773.0,-15460.0,465
bracket_only,60,15.0,2.0,963,1289.0,25780.0,1.3385,26.77,0.3645,29.9487,-15.0703,-15.0,1.1398,-465.0,-9300.0,228
bracket_with_time_stop,15,15.0,2.5,963,1259.25,25185.0,1.3076,26.15,0.3551,30.1009,-14.5965,-15.0,1.1394,-448.25,-8965.0,257
bracket_with_time_stop,15,20.0,1.5,963,1329.0,26580.0,1.3801,27.6,0.4548,25.7277,-18.969,-20.0,1.1337,-601.0,-12020.0,257
bracket_only,60,15.0,2.5,963,1298.0,25960.0,1.3479,26.96,0.3188,36.6743,-15.1845,-15.0,1.1303,-451.0,-9020.0,187
bracket_with_time_stop,15,20.0,2.0,963,1367.5,27350.0,1.42,28.4,0.4071,30.9955,-18.9504,-20.0,1.1268,-560.75,-11215.0,257
bracket_with_time_stop,60,15.0,2.0,963,1131.25,22625.0,1.1747,23.49,0.3728,28.2472,-14.9164,-15.0,1.1256,-465.0,-9300.0,372
bracket_with_time_stop,60,15.0,2.5,963,1164.0,23280.0,1.2087,24.17,0.3281,34.193,-14.9011,-15.0,1.1207,-412.5,-8250.0,194
bracket_with_time_stop,60,20.0,2.0,963,1350.25,27005.0,1.4021,28.04,0.378,35.8777,-19.548,-20.0,1.1153,-560.0,-11200.0,257
bracket_only,15,30.0,2.5,963,2735.5,54710.0,2.8406,56.81,0.3811,76.9448,-42.7907,-30.0,1.1073,-2012.25,-40245.0,320
bracket_only,15,15.0,1.5,963,934.0,18680.0,0.9699,19.4,0.4444,23.5683,-17.1089,-15.0,1.102,-742.5,-14850.0,381
bracket_only,60,20.0,2.0,963,1193.25,23865.0,1.2391,24.78,0.3718,38.7311,-20.9463,-20.0,1.0942,-835.5,-16710.0,289
bracket_with_time_stop,60,20.0,1.5,963,987.5,19750.0,1.0254,20.51,0.432,28.0655,-19.5388,-20.0,1.0924,-640.0,-12800.0,257
bracket_only,15,15.0,2.0,963,955.0,19100.0,0.9917,19.83,0.3811,31.7677,-17.9593,-15.0,1.0892,-944.5,-18890.0,525
bracket_only,60,30.0,2.5,963,1792.5,35850.0,1.8614,37.23,0.3468,66.4686,-32.4452,-30.0,1.0878,-1120.5,-22410.0,324
bracket_with_time_stop,15,30.0,1.5,963,1090.25,21805.0,1.1321,22.64,0.4663,31.9944,-26.0299,-5.75,1.0821,-866.75,-17335.0,310
bracket_with_time_stop,15,30.0,2.5,963,1170.25,23405.0,1.2152,24.3,0.4226,38.2445,-26.0784,-12.75,1.0813,-911.5,-18230.0,207
bracket_only,15,20.0,1.5,963,1026.5,20530.0,1.0659,21.32,0.4455,31.9942,-23.7809,-20.0,1.0808,-1077.5,-21550.0,450
bracket_only,60,30.0,1.5,963,1318.5,26370.0,1.3692,27.38,0.4341,43.549,-30.9817,-30.0,1.0781,-1246.0,-24920.0,294
bracket_with_time_stop,15,25.0,1.5,963,930.5,18610.0,0.9663,19.33,0.4538,29.5744,-22.8884,-10.5,1.0776,-677.25,-13545.0,310
bracket_with_time_stop,60,30.0,2.5,963,1291.5,25830.0,1.3411,26.82,0.3634,53.3043,-28.3279,-30.0,1.0744,-898.75,-17975.0,200
bracket_only,60,20.0,1.5,963,785.5,15710.0,0.8157,16.31,0.4278,29.838,-20.8852,-20.0,1.0683,-775.0,-15500.0,398
bracket_with_time_stop,15,20.0,2.5,963,770.5,15410.0,0.8001,16.0,0.3728,33.9499,-18.9659,-20.0,1.0675,-709.25,-14185.0,289
bracket_only,15,20.0,2.0,963,982.25,19645.0,1.02,20.4,0.3884,42.3977,-25.2538,-20.0,1.066,-1109.75,-22195.0,498
bracket_with_time_stop,60,30.0,1.5,963,1000.0,20000.0,1.0384,20.77,0.4382,38.5658,-28.2343,-30.0,1.0655,-867.75,-17355.0,257
bracket_with_time_stop,60,20.0,2.5,963,800.75,16015.0,0.8315,16.63,0.3302,42.1627,-19.5457,-20.0,1.0635,-837.75,-16755.0,275
bracket_only,15,20.0,2.5,963,966.0,19320.0,1.0031,20.06,0.3427,52.1629,-25.6679,-20.0,1.0595,-1202.75,-24055.0,507
bracket_with_time_stop,15,30.0,2.0,963,806.5,16130.0,0.8375,16.75,0.433,35.786,-26.0447,-11.25,1.0571,-828.5,-16570.0,214
bracket_only,60,20.0,2.5,963,748.25,14965.0,0.777,15.54,0.3198,47.0633,-20.9882,-20.0,1.0544,-920.5,-18410.0,275
bracket_only,60,30.0,2.0,963,1040.25,20805.0,1.0802,21.6,0.378,55.5275,-32.0063,-30.0,1.0543,-1231.25,-24625.0,362
bracket_with_time_stop,60,25.0,1.5,963,664.75,13295.0,0.6903,13.81,0.4278,33.8562,-24.1089,-25.0,1.05,-785.75,-15715.0,310
bracket_only,15,15.0,2.5,963,540.5,10810.0,0.5613,11.23,0.3344,39.0054,-18.7508,-15.0,1.045,-863.5,-17270.0,520
bracket_with_time_stop,15,25.0,2.0,963,517.5,10350.0,0.5374,10.75,0.4133,33.7167,-22.9161,-25.0,1.0401,-858.0,-17160.0,315
bracket_with_time_stop,60,30.0,2.0,963,667.75,13355.0,0.6934,13.87,0.3853,46.9825,-28.3155,-30.0,1.0398,-886.0,-17720.0,257
bracket_with_time_stop,15,25.0,2.5,963,495.0,9900.0,0.514,10.28,0.3915,36.7347,-22.8664,-25.0,1.0371,-653.75,-13075.0,313
bracket_only,60,25.0,1.5,963,512.25,10245.0,0.5319,10.64,0.4226,36.7242,-25.9613,-25.0,1.0355,-1059.75,-21195.0,362
bracket_only,15,30.0,2.0,963,662.0,13240.0,0.6874,13.75,0.4019,63.8753,-41.7669,-30.0,1.0275,-2194.5,-43890.0,525
bracket_only,15,25.0,2.0,963,424.0,8480.0,0.4403,8.81,0.3801,53.5854,-32.1411,-25.0,1.0221,-1475.0,-29500.0,350
bracket_with_time_stop,60,25.0,2.0,963,304.25,6085.0,0.3159,6.32,0.3697,41.9789,-24.119,-25.0,1.0208,-934.25,-18685.0,315
bracket_only,60,25.0,2.0,963,307.0,6140.0,0.3188,6.38,0.3603,46.9683,-25.9594,-25.0,1.0192,-1004.25,-20085.0,340
bracket_only,15,30.0,1.5,963,292.25,5845.0,0.3035,6.07,0.4496,50.5127,-40.7165,-30.0,1.0135,-1832.75,-36655.0,355
bracket_with_time_stop,60,25.0,2.5,963,177.0,3540.0,0.1838,3.68,0.3333,48.7858,-24.1172,-25.0,1.0114,-745.5,-14910.0,451
bracket_only,60,25.0,2.5,963,160.0,3200.0,0.1661,3.32,0.3219,56.4016,-26.5306,-25.0,1.0092,-1114.0,-22280.0,638
bracket_only,15,25.0,2.5,963,-12.0,-240.0,-0.0125,-0.25,0.3479,63.9201,-34.1166,-25.0,0.9994,-2360.25,-47205.0,537
bracket_only,15,25.0,1.5,963,-445.25,-8905.0,-0.4624,-9.25,0.4351,40.0859,-31.6935,-25.0,0.9742,-1566.5,-31330.0,513
