filter,split,trades,net,pf,win_rate,avg_trade,maxdd
none,2016-2020,1829,112532.36,1.1486,0.4806,61.53,-24038.8
none,2021-2023,1811,120165.24,1.115,0.4014,66.35,-29143.44
none,2024-2026,1854,66193.36,1.0595,0.3759,35.7,-47788.4
none,2016-2023_IS,3640,232697.6,1.1291,0.4412,63.93,-29143.44
none,2024-2026_OOS,1854,66193.36,1.0595,0.3759,35.7,-47788.4
none,2016-2021_IS,2375,148085.0,1.1401,0.4665,62.35,-24038.8
none,2022-2026_OOS,3119,150805.96,1.0812,0.3831,48.35,-47788.4
skip_10_11_21,2016-2020,1701,109447.84,1.1541,0.4797,64.34,-19432.84
skip_10_11_21,2021-2023,1620,151845.8,1.1617,0.4043,93.73,-24823.84
skip_10_11_21,2024-2026,1627,77494.68,1.0784,0.3749,47.63,-32929.92
skip_10_11_21,2016-2023_IS,3321,261293.64,1.1584,0.4429,78.68,-24823.84
skip_10_11_21,2024-2026_OOS,1627,77494.68,1.0784,0.3749,47.63,-32929.92
skip_10_11_21,2016-2021_IS,2177,160251.68,1.1643,0.4667,73.61,-19494.16
skip_10_11_21,2022-2026_OOS,2771,178536.64,1.1074,0.3843,64.43,-32929.92
skip_10_11_21_2,2016-2020,1496,91705.64,1.148,0.4786,61.3,-18354.04
skip_10_11_21_2,2021-2023,1471,148584.64,1.1761,0.4086,101.01,-25512.6
skip_10_11_21_2,2024-2026,1511,104628.24,1.1158,0.3825,69.24,-24222.28
skip_10_11_21_2,2016-2023_IS,2967,240290.28,1.1642,0.4439,80.99,-25512.6
skip_10_11_21_2,2024-2026_OOS,1511,104628.24,1.1158,0.3825,69.24,-24222.28
skip_10_11_21_2,2016-2021_IS,1928,148196.52,1.1733,0.4678,76.87,-18917.24
skip_10_11_21_2,2022-2026_OOS,2550,196722.0,1.1302,0.3894,77.15,-24222.28
skip_10_21,2016-2020,1729,113458.36,1.157,0.48,65.62,-19432.84
skip_10_21,2021-2023,1670,140407.8,1.1438,0.4,84.08,-25152.0
skip_10_21,2024-2026,1681,80086.04,1.0783,0.3748,47.64,-40066.36
skip_10_21,2016-2023_IS,3399,253866.16,1.1494,0.4407,74.69,-25152.0
skip_10_21,2024-2026_OOS,1681,80086.04,1.0783,0.3748,47.64,-40066.36
skip_10_21,2016-2021_IS,2215,157165.6,1.1577,0.4655,70.96,-20397.8
skip_10_21,2022-2026_OOS,2865,176786.6,1.1025,0.3829,61.71,-40066.36
skip_10_11,2016-2020,1767,117057.28,1.1615,0.4833,66.25,-21008.32
skip_10_11,2021-2023,1727,135188.68,1.1374,0.4076,78.28,-30077.16
skip_10_11,2024-2026,1741,72096.44,1.0696,0.3791,41.41,-38534.72
skip_10_11,2016-2023_IS,3494,252245.96,1.1476,0.4459,72.19,-30077.16
skip_10_11,2024-2026_OOS,1741,72096.44,1.0696,0.3791,41.41,-38534.72
skip_10_11,2016-2021_IS,2290,163113.6,1.1622,0.4712,71.23,-21008.32
skip_10_11,2022-2026_OOS,2945,161228.8,1.0927,0.3868,54.75,-38534.72
skip_21_2,2016-2020,1558,87180.72,1.1337,0.4756,55.96,-20448.0
skip_21_2,2021-2023,1555,133561.2,1.1476,0.4013,85.89,-31599.04
skip_21_2,2024-2026,1624,98725.16,1.1007,0.3787,60.79,-28780.2
skip_21_2,2016-2023_IS,3113,220741.92,1.1418,0.4385,70.91,-31599.04
skip_21_2,2024-2026_OOS,1624,98725.16,1.1007,0.3787,60.79,-28780.2
skip_21_2,2016-2021_IS,2013,133167.92,1.147,0.4625,66.15,-20448.0
skip_21_2,2022-2026_OOS,2724,186299.16,1.1142,0.3851,68.39,-28780.2
skip_9_10_11,2016-2020,1699,113018.16,1.1622,0.4815,66.52,-20957.36
skip_9_10_11,2021-2023,1673,133972.32,1.1411,0.4094,80.08,-27102.64
skip_9_10_11,2024-2026,1680,61586.2,1.0617,0.3786,36.66,-40621.8
skip_9_10_11,2016-2023_IS,3372,246990.48,1.15,0.4457,73.25,-27102.64
skip_9_10_11,2024-2026_OOS,1680,61586.2,1.0617,0.3786,36.66,-40621.8
skip_9_10_11,2016-2021_IS,2205,163722.2,1.1696,0.4712,74.25,-22202.64
skip_9_10_11,2022-2026_OOS,2847,144854.48,1.0863,0.3864,50.88,-40621.8
skip_20_21_22,2016-2020,1687,99910.08,1.1382,0.4772,59.22,-22463.32
skip_20_21_22,2021-2023,1575,140703.0,1.1482,0.3924,89.34,-25939.16
skip_20_21_22,2024-2026,1579,63452.36,1.0631,0.361,40.19,-46869.96
skip_20_21_22,2016-2023_IS,3262,240613.08,1.1439,0.4362,73.76,-25939.16
skip_20_21_22,2024-2026_OOS,1579,63452.36,1.0631,0.361,40.19,-46869.96
skip_20_21_22,2016-2021_IS,2149,139366.16,1.1404,0.4607,64.85,-22463.32
skip_20_21_22,2022-2026_OOS,2692,164699.28,1.0977,0.3726,61.18,-46869.96
skip_1_2_3,2016-2020,1296,85767.64,1.1615,0.4823,66.18,-21972.52
skip_1_2_3,2021-2023,1446,107903.64,1.1327,0.4101,74.62,-28542.08
skip_1_2_3,2024-2026,1558,94730.72,1.1043,0.3877,60.8,-29777.64
skip_1_2_3,2016-2023_IS,2742,193671.28,1.1441,0.4442,70.63,-28542.08
skip_1_2_3,2024-2026_OOS,1558,94730.72,1.1043,0.3877,60.8,-29777.64
skip_1_2_3,2016-2021_IS,1718,121210.12,1.1609,0.4703,70.55,-21972.52
skip_1_2_3,2022-2026_OOS,2582,167191.88,1.1115,0.3927,64.75,-29777.64
skip_2_3_4,2016-2020,1386,112658.24,1.2039,0.4928,81.28,-22982.68
skip_2_3_4,2021-2023,1505,80079.2,1.0932,0.4027,53.21,-33900.48
skip_2_3_4,2024-2026,1591,75160.44,1.0802,0.3828,47.24,-27707.56
skip_2_3_4,2016-2023_IS,2891,192737.44,1.1366,0.4459,66.67,-33900.48
skip_2_3_4,2024-2026_OOS,1591,75160.44,1.0802,0.3828,47.24,-27707.56
skip_2_3_4,2016-2021_IS,1832,149056.88,1.1893,0.4787,81.36,-22982.68
skip_2_3_4,2022-2026_OOS,2650,118841.0,1.0761,0.3853,44.85,-32021.04
skip_10,2016-2020,1795,121067.8,1.1643,0.4836,67.45,-21008.32
skip_10,2021-2023,1777,123750.68,1.1212,0.4035,69.64,-31138.28
skip_10,2024-2026,1795,74687.8,1.0698,0.3788,41.61,-45671.16
skip_10,2016-2023_IS,3572,244818.48,1.1392,0.4437,68.54,-31138.28
skip_10,2024-2026_OOS,1795,74687.8,1.0698,0.3788,41.61,-45671.16
skip_10,2016-2021_IS,2328,160027.52,1.1558,0.4699,68.74,-21008.32
skip_10,2022-2026_OOS,3039,159478.76,1.0885,0.3853,52.48,-45671.16
skip_11,2016-2020,1801,108521.84,1.1457,0.4803,60.26,-24038.8
skip_11,2021-2023,1761,131603.24,1.1306,0.4055,74.73,-28082.32
skip_11,2024-2026,1800,63602.0,1.059,0.3761,35.33,-40651.96
skip_11,2016-2023_IS,3562,240125.08,1.137,0.4433,67.41,-28082.32
skip_11,2024-2026_OOS,1800,63602.0,1.059,0.3761,35.33,-40651.96
skip_11,2016-2021_IS,2337,151171.08,1.146,0.4677,64.69,-24038.8
skip_11,2022-2026_OOS,3025,152556.0,1.085,0.3845,50.43,-40651.96
skip_21,2016-2020,1763,104922.92,1.1412,0.477,59.51,-22463.32
skip_21,2021-2023,1704,136822.36,1.1368,0.3979,80.29,-26844.16
skip_21,2024-2026,1740,71591.6,1.0672,0.3718,41.14,-42183.6
skip_21,2016-2023_IS,3467,241745.28,1.1387,0.4381,69.73,-26844.16
skip_21,2024-2026_OOS,1740,71591.6,1.0672,0.3718,41.14,-42183.6
skip_21,2016-2021_IS,2262,145223.08,1.1415,0.462,64.2,-22463.32
skip_21,2022-2026_OOS,2945,168113.8,1.0944,0.3806,57.08,-42183.6
skip_2,2016-2020,1624,94790.16,1.1423,0.4797,58.37,-22023.48
skip_2,2021-2023,1662,116904.08,1.1231,0.4049,70.34,-32915.8
skip_2,2024-2026,1738,93326.92,1.0908,0.3826,53.7,-35707.76
skip_2,2016-2023_IS,3286,211694.24,1.131,0.4419,64.42,-32915.8
skip_2,2024-2026_OOS,1738,93326.92,1.0908,0.3826,53.7,-35707.76
skip_2,2016-2021_IS,2126,136029.84,1.1453,0.4675,63.98,-22023.48
skip_2,2022-2026_OOS,2898,168991.32,1.099,0.3875,58.31,-35707.76
